Título,Año,Género,Puntuación,N_Votos,Director/a,Local_carátula,Web_carátula
Kundo: Age of the Rampant,2014,AC,"6,3",184,Yun Jong-bin,Pictures/kundo_min_ran_eui_si_dae-643781324-msmall.jpg,https://pics.filmaffinity.com/kundo_min_ran_eui_si_dae-643781324-msmall.jpg
Man On High Heels,2014,AC,"6,2",87,Jang Jin,Pictures/haiheel-615953257-msmall.jpg,https://pics.filmaffinity.com/haiheel-615953257-msmall.jpg
The Equalizer (El protector),2014,AC,"6,2",20.285,Antoine Fuqua,Pictures/the_equalizer-392015711-msmall.jpg,https://pics.filmaffinity.com/the_equalizer-392015711-msmall.jpg
Mickey Mouse: La caldera (TV) (C),2014,AC,"6,2",63,Paul Rudish,Pictures/walt_disney_s_mickey_mouse_the_boiler_room_tv_s-546330180-msmall.jpg,https://pics.filmaffinity.com/walt_disney_s_mickey_mouse_the_boiler_room_tv_s-546330180-msmall.jpg
Volverán los prados,2014,BE,"6,6",145,Ermanno Olmi,Pictures/torneranno_i_prati-711677124-msmall.jpg,https://pics.filmaffinity.com/torneranno_i_prati-711677124-msmall.jpg
Corazones de acero,2014,BE,"6,6",35.734,David Ayer,Pictures/fury-657159513-msmall.jpg,https://pics.filmaffinity.com/fury-657159513-msmall.jpg
Gloria del Pacífico,2014,BE,"6,6",65,Juan Carlos Oganes,Pictures/gloria_del_pacifico-962247970-msmall.jpg,https://pics.filmaffinity.com/gloria_del_pacifico-962247970-msmall.jpg
Roaring Currents,2014,BE,"6,5",475,Kim Han-min,Pictures/myeong_ryang-908909958-msmall.jpg,https://pics.filmaffinity.com/myeong_ryang-908909958-msmall.jpg
El Francotirador,2014,BE,"6,4",43.885,Clint Eastwood,Pictures/american_sniper-943269662-msmall.jpg,https://pics.filmaffinity.com/american_sniper-943269662-msmall.jpg
Testamento de juventud,2014,BE,"6,3",1.679,James Kent,Pictures/testament_of_youth-888025740-msmall.jpg,https://pics.filmaffinity.com/testament_of_youth-888025740-msmall.jpg
Bendito Machine V: Pull the Trigger (C),2014,BE,"6,2",147,Jossie Malis,Pictures/bendito_machine_v_pull_the_trigger_s-831541372-msmall.jpg,https://pics.filmaffinity.com/bendito_machine_v_pull_the_trigger_s-831541372-msmall.jpg
Secretos de guerra,2014,BE,"6,2",935,Dennis Bots,Pictures/oorlogsgeheimen_secrets_of_war-214961788-msmall.jpg,https://pics.filmaffinity.com/oorlogsgeheimen_secrets_of_war-214961788-msmall.jpg
Fires on the Plain,2014,BE,"6,0",79,Shinya Tsukamoto,Pictures/nobi_fires_on_the_plain-735736456-msmall.jpg,https://pics.filmaffinity.com/nobi_fires_on_the_plain-735736456-msmall.jpg
The Search,2014,BE,"5,9",126,Michel Hazanavicius,Pictures/the_search-827718591-msmall.jpg,https://pics.filmaffinity.com/the_search-827718591-msmall.jpg
Al lado del enemigo,2014,BE,"5,8",490,Mark Schmidt,Pictures/walking_with_the_enemy-352217193-msmall.jpg,https://pics.filmaffinity.com/walking_with_the_enemy-352217193-msmall.jpg
Varsovia 1944,2014,BE,"5,8",722,Jan Komasa,Pictures/miasto_44_warsaw_44-251848267-msmall.jpg,https://pics.filmaffinity.com/miasto_44_warsaw_44-251848267-msmall.jpg
El maestro del agua,2014,BE,"5,8",7.794,Russell Crowe,Pictures/the_water_diviner-657397070-msmall.jpg,https://pics.filmaffinity.com/the_water_diviner-657397070-msmall.jpg
